UNITID,LEXP100K,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,LILSYN,XLSTOTAL,LSTOTAL,XLSLIBRN,LSLIBRN,XLSOPROF,LSOPROF,XLSOPAID,LSOPAID,XLSSTAST,LSSTAST,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
487977,2,1,A,,R,16336,R,0,A,,R,38888,A,,R,0,A,,R,55224,R,55224,A,,R,8581,R,8581,2,A,,A,,1,R,0.5,R,0.5,R,0,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
487995,2,2,R,4157,R,0,R,1,R,140,R,0,R,800,R,0,R,5097,R,1,R,5098,R,100,R,2,R,102,2,A,,A,,1,R,3,R,1,R,0,R,0,R,2,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
488004,2,2,R,5850,R,0,R,0,R,0,R,0,R,0,R,0,R,5850,R,0,R,5850,R,0,R,0,R,0,2,A,,A,,1,R,0.1,R,0,R,0,R,0,R,0.1,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
488031,2,1,A,,R,130,R,37961,A,,R,4,A,,R,409,A,,R,38504,R,38504,A,,R,38293,R,38293,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
488059,2,2,R,4168,R,25778,R,43853,R,0,R,13608,R,0,R,0,R,4168,R,83239,R,87407,R,103,R,150,R,253,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
488077,2,1,A,,R,5805,R,3,A,,R,596,A,,R,22807,A,,R,29211,R,29211,A,,R,2446,R,2446,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
488305,2,2,R,22878,R,53,R,2,R,935,R,3,R,2234,R,7,R,26047,R,65,R,26112,R,1769,R,6658,R,8427,2,A,,A,,1,R,4,R,1,R,0,R,0,R,3,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
488314,2,2,R,2773,R,0,R,1,R,0,R,0,R,0,R,0,R,2773,R,1,R,2774,R,0,R,1000,R,1000,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
488332,2,1,A,,R,6500,R,3,A,,R,0,A,,R,0,A,,R,6503,R,6503,A,,R,2600,R,2600,2,A,,A,,1,R,2,R,1,R,1,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
488350,2,2,R,4680,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,4680,R,0,R,4680,R,0,R,0,R,0,2,A,,A,,2,A,,A,,A,,A,,A,,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
488387,2,1,A,,R,35374,R,47,A,,R,0,A,,R,50973,A,,R,86394,R,86394,A,,R,134,R,134,1,R,0,R,46,1,R,1,R,1,R,0,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
488448,2,2,R,3876,R,0,R,26,R,0,R,330,R,0,R,0,R,3876,R,356,R,4232,R,125,R,110,R,235,2,A,,A,,1,R,1,R,1,R,0,R,0,R,0,A,,A,,-2,A,,A,,A,,A,,A,,A,,A,,A,,A,,.
